raw,nickname,visa_type,location,major,status,submit_date,complete_date,reported_days,calc_days,observed_days,parse_ok,parse_issue,key
UpdateAA00F59HOXF1RenewalGuangZhouInitial OPTPending2026-01-080000-00-0078,AA00F59HOX,F1Renewal,GuangZhou,Initial OPT,Pending,2026-01-08,0000-00-00,78,,78,1,,AA00F59HOX|F1Renewal|2026-01-08
UpdateperticalF1RenewalBeiJingMechanical EngineeringPending2026-01-260000-00-0060,pertical,F1Renewal,BeiJing,Mechanical Engineering,Pending,2026-01-26,0000-00-00,60,,60,1,,pertical|F1Renewal|2026-01-26
UpdatemengxiayuF1RenewalGuangZhouComputer SciencePending2026-01-280000-00-0058,mengxiayu,F1Renewal,GuangZhou,Computer Science,Pending,2026-01-28,0000-00-00,58,,58,1,,mengxiayu|F1Renewal|2026-01-28
Update搞快点F1RenewalShangHaiCSClear2026-01-152026-03-1761,搞快点,F1Renewal,ShangHai,CS,Clear,2026-01-15,2026-03-17,61,61,,1,,搞快点|F1Renewal|2026-01-15
UpdateLord have mercyF1RenewalShenYangORIE (Financial EngineeriPending2026-01-060000-00-0080,Lord have mercy,F1Renewal,ShenYang,ORIE (Financial Engineeri,Pending,2026-01-06,0000-00-00,80,,80,1,,Lord have mercy|F1Renewal|2026-01-06
Update啊啊啊啊啊F1RenewalGuangZhouSTEMClear2026-01-142026-03-1964,啊啊啊啊啊,F1Renewal,GuangZhou,STEM,Clear,2026-01-14,2026-03-19,64,64,,1,,啊啊啊啊啊|F1Renewal|2026-01-14
UpdatejjjzzzF1RenewalBeiJingBiologyPending2026-01-210000-00-0065,jjjzzz,F1Renewal,BeiJing,Biology,Pending,2026-01-21,0000-00-00,65,,65,1,,jjjzzz|F1Renewal|2026-01-21
Update捏蛋F1NewBeiJingMechanical EngineeringPending2026-01-270000-00-0059,捏蛋,F1New,BeiJing,Mechanical Engineering,Pending,2026-01-27,0000-00-00,59,,59,1,,捏蛋|F1New|2026-01-27
UpdateBurningTimeF1RenewalWuHanSTEMClear2026-01-072026-03-2476,BurningTime,F1Renewal,WuHan,STEM,Clear,2026-01-07,2026-03-24,76,76,,1,,BurningTime|F1Renewal|2026-01-07
Update腾蛇乘务F1RenewalBeiJingBioengineeringClear2026-01-282026-03-1950,腾蛇乘务,F1Renewal,BeiJing,Bioengineering,Clear,2026-01-28,2026-03-19,50,50,,1,,腾蛇乘务|F1Renewal|2026-01-28
Update终于过了F1RenewalBeiJingPhysicsClear2026-01-142026-03-1964,终于过了,F1Renewal,BeiJing,Physics,Clear,2026-01-14,2026-03-19,64,64,,1,,终于过了|F1Renewal|2026-01-14
UpdateheiheiheiF1RenewalWuHanBMEClear2026-01-232026-03-2460,heiheihei,F1Renewal,WuHan,BME,Clear,2026-01-23,2026-03-24,60,60,,1,,heiheihei|F1Renewal|2026-01-23
Update冯ECE STEMOPTF1RenewalBeiJingEEPending2025-12-040000-00-00113,冯ECE STEMOPT,F1Renewal,BeiJing,EE,Pending,2025-12-04,0000-00-00,113,,113,1,,冯ECE STEMOPT|F1Renewal|2025-12-04
Update下签下签下F1RenewalGuangZhouMicrobiologyClear2025-12-042026-03-1197,下签下签下,F1Renewal,GuangZhou,Microbiology,Clear,2025-12-04,2026-03-11,97,97,,1,,下签下签下|F1Renewal|2025-12-04
Update12345670706F1NewBeiJingHigh SchoolPending2025-12-300000-00-0087,12345670706,F1New,BeiJing,High School,Pending,2025-12-30,0000-00-00,87,,87,1,,12345670706|F1New|2025-12-30
Update见贤思齐F1RenewalWuHanChemistry PhDClear2025-12-022026-03-0391,见贤思齐,F1Renewal,WuHan,Chemistry PhD,Clear,2025-12-02,2026-03-03,91,91,,1,,见贤思齐|F1Renewal|2025-12-02
Update校服会飞F1RenewalBeiJingECEClear2025-12-082025-12-124,校服会飞,F1Renewal,BeiJing,ECE,Clear,2025-12-08,2025-12-12,4,4,,1,,校服会飞|F1Renewal|2025-12-08
UpdateF1-OPT-CSF1RenewalBeiJingComputer SciClear2025-12-112026-03-1291,F1-OPT-CS,F1Renewal,BeiJing,Computer Sci,Clear,2025-12-11,2026-03-12,91,91,,1,,F1-OPT-CS|F1Renewal|2025-12-11
Update大聪明666F1NewHongKongSTEMClear2025-12-112026-01-2646,大聪明666,F1New,HongKong,STEM,Clear,2025-12-11,2026-01-26,46,46,,1,,大聪明666|F1New|2025-12-11
Update求过求过QAQF1RenewalBeiJingComputer SciencePending2025-12-100000-00-00107,求过求过QAQ,F1Renewal,BeiJing,Computer Science,Pending,2025-12-10,0000-00-00,107,,107,1,,求过求过QAQ|F1Renewal|2025-12-10
UpdatefeifeifengF1RenewalBeiJingMaterials ScienceClear2025-12-162026-02-2672,feifeifeng,F1Renewal,BeiJing,Materials Science,Clear,2025-12-16,2026-02-26,72,72,,1,,feifeifeng|F1Renewal|2025-12-16
Update球球F1RenewalBeiJingComputer SciencePending2025-12-120000-00-00105,球球,F1Renewal,BeiJing,Computer Science,Pending,2025-12-12,0000-00-00,105,,105,1,,球球|F1Renewal|2025-12-12
Update接好运！F1RenewalOthersHistory (WUHAN)Pending2025-12-160000-00-00101,接好运！,F1Renewal,Others,History (WUHAN),Pending,2025-12-16,0000-00-00,101,,101,1,,接好运！|F1Renewal|2025-12-16
Update过过过F1RenewalBeiJingBiomedical SciencesPending2025-12-180000-00-0099,过过过,F1Renewal,BeiJing,Biomedical Sciences,Pending,2025-12-18,0000-00-00,99,,99,1,,过过过|F1Renewal|2025-12-18
Updateer1cF1RenewalGuangZhouCSPending2025-12-180000-00-0099,er1c,F1Renewal,GuangZhou,CS,Pending,2025-12-18,0000-00-00,99,,99,1,,er1c|F1Renewal|2025-12-18
UpdatestuartF1RenewalWuHanCSClear2025-12-122026-03-27105,stuart,F1Renewal,WuHan,CS,Clear,2025-12-12,2026-03-27,105,105,,1,,stuart|F1Renewal|2025-12-12
Update海女美大铁F1RenewalGuangZhouComputer ScienceClear2025-12-082026-03-1799,海女美大铁,F1Renewal,GuangZhou,Computer Science,Clear,2025-12-08,2026-03-17,99,99,,1,,海女美大铁|F1Renewal|2025-12-08
UpdatepeterinpittF1RenewalBeiJingEnvironmental EngineeringClear2025-12-092026-03-0990,peterinpitt,F1Renewal,BeiJing,Environmental Engineering,Clear,2025-12-09,2026-03-09,90,90,,1,,peterinpitt|F1Renewal|2025-12-09
UpdatemomoF1RenewalBeiJingBiomedical SciencePending2025-12-110000-00-00106,momo,F1Renewal,BeiJing,Biomedical Science,Pending,2025-12-11,0000-00-00,106,,106,1,,momo|F1Renewal|2025-12-11
UpdatejiuzhebaF1RenewalBeiJingBMEClear2025-12-082026-03-1092,jiuzheba,F1Renewal,BeiJing,BME,Clear,2025-12-08,2026-03-10,92,92,,1,,jiuzheba|F1Renewal|2025-12-08
Update鸡神救我下F1RenewalBeiJingGeosciencePending2025-12-150000-00-00102,鸡神救我下,F1Renewal,BeiJing,Geoscience,Pending,2025-12-15,0000-00-00,102,,102,1,,鸡神救我下|F1Renewal|2025-12-15
Update快点儿吧F1RenewalBeiJingMusic PerformanceClear2025-12-162025-12-3014,快点儿吧,F1Renewal,BeiJing,Music Performance,Clear,2025-12-16,2025-12-30,14,14,,1,,快点儿吧|F1Renewal|2025-12-16
UpdatehpyyyF1RenewalShangHaiBEClear2025-12-122026-03-1391,hpyyy,F1Renewal,ShangHai,BE,Clear,2025-12-12,2026-03-13,91,91,,1,,hpyyy|F1Renewal|2025-12-12
Update蛋卷小王F1NewBeiJingtextile science Clear2025-12-042026-03-0288,蛋卷小王,F1New,BeiJing,textile science,Clear,2025-12-04,2026-03-02,88,88,,1,,蛋卷小王|F1New|2025-12-04
UpdateLaojiF1RenewalBeiJingBioengineeringClear2025-12-232026-03-0976,Laoji,F1Renewal,BeiJing,Bioengineering,Clear,2025-12-23,2026-03-09,76,76,,1,,Laoji|F1Renewal|2025-12-23
Update123134F1RenewalHongKongPure MathClear2025-12-122026-01-1534,123134,F1Renewal,HongKong,Pure Math,Clear,2025-12-12,2026-01-15,34,34,,1,,123134|F1Renewal|2025-12-12
Update球球了F1RenewalBeiJingCompter ScienceClear2025-12-122026-03-0684,球球了,F1Renewal,BeiJing,Compter Science,Clear,2025-12-12,2026-03-06,84,84,,1,,球球了|F1Renewal|2025-12-12
Update累了F1NewBeiJingCEE Pending2025-12-090000-00-00108,累了,F1New,BeiJing,CEE,Pending,2025-12-09,0000-00-00,108,,108,1,,累了|F1New|2025-12-09
Update北京面签F1RenewalBeiJingNeuroscience (initial OPTClear2025-12-312026-01-055,北京面签,F1Renewal,BeiJing,Neuroscience (initial OPT,Clear,2025-12-31,2026-01-05,5,5,,1,,北京面签|F1Renewal|2025-12-31
UpdatedhhadF1RenewalGuangZhouCS PhDPending2025-12-080000-00-00109,dhhad,F1Renewal,GuangZhou,CS PhD,Pending,2025-12-08,0000-00-00,109,,109,1,,dhhad|F1Renewal|2025-12-08
UpdateLiiiicattyyF1RenewalBeiJingChemistryClear2025-12-082026-03-0688,Liiiicattyy,F1Renewal,BeiJing,Chemistry,Clear,2025-12-08,2026-03-06,88,88,,1,,Liiiicattyy|F1Renewal|2025-12-08
UpdateF1-OPT-WuhanF1RenewalOthersCSClear2025-12-032026-03-0390,F1-OPT-Wuhan,F1Renewal,Others,CS,Clear,2025-12-03,2026-03-03,90,90,,1,,F1-OPT-Wuhan|F1Renewal|2025-12-03
Update求求下签三F1RenewalOthersPhysicsPending2025-12-290000-00-0088,求求下签三,F1Renewal,Others,Physics,Pending,2025-12-29,0000-00-00,88,,88,1,,求求下签三|F1Renewal|2025-12-29
Update急急国王F1RenewalBeiJingMaster of Information SysClear2025-12-292026-01-024,急急国王,F1Renewal,BeiJing,Master of Information Sys,Clear,2025-12-29,2026-01-02,4,4,,1,,急急国王|F1Renewal|2025-12-29
UpdatehiF1RenewalBeiJingData ScienceClear2025-12-182026-01-0720,hi,F1Renewal,BeiJing,Data Science,Clear,2025-12-18,2026-01-07,20,20,,1,,hi|F1Renewal|2025-12-18
Update卑微🙏求�F1RenewalOthersMS STATClear2025-12-112026-03-0685,卑微🙏求�,F1Renewal,Others,MS STAT,Clear,2025-12-11,2026-03-06,85,85,,1,,卑微🙏求�|F1Renewal|2025-12-11
UpdateBall BallF1RenewalBeiJingCSPending2025-12-050000-00-00112,Ball Ball,F1Renewal,BeiJing,CS,Pending,2025-12-05,0000-00-00,112,,112,1,,Ball Ball|F1Renewal|2025-12-05
UpdateJuneyaoF1RenewalBeiJingCSClear2025-12-302026-03-1979,Juneyao,F1Renewal,BeiJing,CS,Clear,2025-12-30,2026-03-19,79,79,,1,,Juneyao|F1Renewal|2025-12-30
UpdateeggtartF1RenewalBeiJingEpidemiologyClear2025-12-232026-01-1321,eggtart,F1Renewal,BeiJing,Epidemiology,Clear,2025-12-23,2026-01-13,21,21,,1,,eggtart|F1Renewal|2025-12-23
Update求快快下签F1RenewalGuangZhouBEPending2025-12-010000-00-00116,求快快下签,F1Renewal,GuangZhou,BE,Pending,2025-12-01,0000-00-00,116,,116,1,,求快快下签|F1Renewal|2025-12-01
Updateqq下签F1RenewalBeiJingData SciencePending2025-12-190000-00-0098,qq下签,F1Renewal,BeiJing,Data Science,Pending,2025-12-19,0000-00-00,98,,98,1,,qq下签|F1Renewal|2025-12-19
Updateyliu1visaF1RenewalBeiJingMechanical EngineeringClear2025-12-012026-03-12101,yliu1visa,F1Renewal,BeiJing,Mechanical Engineering,Clear,2025-12-01,2026-03-12,101,101,,1,,yliu1visa|F1Renewal|2025-12-01
Update球球快下签F1RenewalGuangZhouBioEClear2025-12-182026-03-0678,球球快下签,F1Renewal,GuangZhou,BioE,Clear,2025-12-18,2026-03-06,78,78,,1,,球球快下签|F1Renewal|2025-12-18
Update保佑我快过F1RenewalBeiJingCS PHDPending2025-12-160000-00-00101,保佑我快过,F1Renewal,BeiJing,CS PHD,Pending,2025-12-16,0000-00-00,101,,101,1,,保佑我快过|F1Renewal|2025-12-16
Update接下签F1NewGuangZhouPDEPending2025-12-050000-00-00112,接下签,F1New,GuangZhou,PDE,Pending,2025-12-05,0000-00-00,112,,112,1,,接下签|F1New|2025-12-05
Update快下签吧F1NewBeiJingQuant PsychologyPending2025-12-180000-00-0099,快下签吧,F1New,BeiJing,Quant Psychology,Pending,2025-12-18,0000-00-00,99,,99,1,,快下签吧|F1New|2025-12-18
Updateisitworking?F1RenewalBeiJingComputer EngineeringPending2025-12-290000-00-0088,isitworking?,F1Renewal,BeiJing,Computer Engineering,Pending,2025-12-29,0000-00-00,88,,88,1,,isitworking?|F1Renewal|2025-12-29
UpdatehyzjhyzjF1RenewalOthersPhysics PhDPending2025-12-230000-00-0094,hyzjhyzj,F1Renewal,Others,Physics PhD,Pending,2025-12-23,0000-00-00,94,,94,1,,hyzjhyzj|F1Renewal|2025-12-23
UpdatehycF1RenewalBeiJingCS PhDPending2025-12-070000-00-00110,hyc,F1Renewal,BeiJing,CS PhD,Pending,2025-12-07,0000-00-00,110,,110,1,,hyc|F1Renewal|2025-12-07
Update下签三巨头F1RenewalGuangZhouInfo Science/HCIClear2025-12-192026-03-1384,下签三巨头,F1Renewal,GuangZhou,Info Science/HCI,Clear,2025-12-19,2026-03-13,84,84,,1,,下签三巨头|F1Renewal|2025-12-19
Update下签pleaseF1RenewalBeiJingECEPending2025-12-040000-00-00113,下签please,F1Renewal,BeiJing,ECE,Pending,2025-12-04,0000-00-00,113,,113,1,,下签please|F1Renewal|2025-12-04
Update每年回国看F1RenewalBeiJingBiologyClear2025-12-042026-03-0288,每年回国看,F1Renewal,BeiJing,Biology,Clear,2025-12-04,2026-03-02,88,88,,1,,每年回国看|F1Renewal|2025-12-04
Update不想说了F1RenewalGuangZhouImmunologyPending2025-12-150000-00-00102,不想说了,F1Renewal,GuangZhou,Immunology,Pending,2025-12-15,0000-00-00,102,,102,1,,不想说了|F1Renewal|2025-12-15
Update求求了快下F1RenewalBeiJingRoboticsPending2025-12-040000-00-00113,求求了快下,F1Renewal,BeiJing,Robotics,Pending,2025-12-04,0000-00-00,113,,113,1,,求求了快下|F1Renewal|2025-12-04
UpdatepeaceminusoneF1RenewalBeiJingMEClear2025-12-092026-03-0687,peaceminusone,F1Renewal,BeiJing,ME,Clear,2025-12-09,2026-03-06,87,87,,1,,peaceminusone|F1Renewal|2025-12-09
Update西瓜太郎F1RenewalBeiJingEEClear2025-12-152026-03-0378,西瓜太郎,F1Renewal,BeiJing,EE,Clear,2025-12-15,2026-03-03,78,78,,1,,西瓜太郎|F1Renewal|2025-12-15
UpdateaaaaF1RenewalGuangZhouECEClear2025-12-152026-03-0479,aaaa,F1Renewal,GuangZhou,ECE,Clear,2025-12-15,2026-03-04,79,79,,1,,aaaa|F1Renewal|2025-12-15
UpdateYXH1165F1RenewalShenYangDataClear2025-12-222026-03-2694,YXH1165,F1Renewal,ShenYang,Data,Clear,2025-12-22,2026-03-26,94,94,,1,,YXH1165|F1Renewal|2025-12-22
Update等等等F1RenewalBeiJingCSClear2025-12-042026-03-0389,等等等,F1Renewal,BeiJing,CS,Clear,2025-12-04,2026-03-03,89,89,,1,,等等等|F1Renewal|2025-12-04
Update绝命毒师F1RenewalShangHaichemical engineeringClear2025-12-082026-02-2377,绝命毒师,F1Renewal,ShangHai,chemical engineering,Clear,2025-12-08,2026-02-23,77,77,,1,,绝命毒师|F1Renewal|2025-12-08
Update455972609F1NewBeiJingCSPending2025-12-030000-00-00114,455972609,F1New,BeiJing,CS,Pending,2025-12-03,0000-00-00,114,,114,1,,455972609|F1New|2025-12-03
Update这回完蛋饿F1RenewalOthersECEPending2025-12-120000-00-00105,这回完蛋饿,F1Renewal,Others,ECE,Pending,2025-12-12,0000-00-00,105,,105,1,,这回完蛋饿|F1Renewal|2025-12-12
UpdateDaomeicuideF1RenewalGuangZhouBiostatisticsClear2025-12-232026-03-0572,Daomeicuide,F1Renewal,GuangZhou,Biostatistics,Clear,2025-12-23,2026-03-05,72,72,,1,,Daomeicuide|F1Renewal|2025-12-23
Update放我回去上F1RenewalBeiJingInformation NetworkingPending2025-12-160000-00-00101,放我回去上,F1Renewal,BeiJing,Information Networking,Pending,2025-12-16,0000-00-00,101,,101,1,,放我回去上|F1Renewal|2025-12-16
Updatewhereismyf1F1RenewalGuangZhouSocial Science/StatisticsClear2025-12-182026-03-2597,whereismyf1,F1Renewal,GuangZhou,Social Science/Statistics,Clear,2025-12-18,2026-03-25,97,97,,1,,whereismyf1|F1Renewal|2025-12-18
UpdateViolaF1NewBeiJingSTEMPending2025-12-040000-00-00113,Viola,F1New,BeiJing,STEM,Pending,2025-12-04,0000-00-00,113,,113,1,,Viola|F1New|2025-12-04
Update求求了希望F1RenewalBeiJingIEPending2025-12-110000-00-00106,求求了希望,F1Renewal,BeiJing,IE,Pending,2025-12-11,0000-00-00,106,,106,1,,求求了希望|F1Renewal|2025-12-11
Update运气爆棚202F1RenewalGuangZhouCSPending2025-12-080000-00-00109,运气爆棚202,F1Renewal,GuangZhou,CS,Pending,2025-12-08,0000-00-00,109,,109,1,,运气爆棚202|F1Renewal|2025-12-08
Update美国再次伟F1NewBeiJingDSPending2025-12-160000-00-00101,美国再次伟,F1New,BeiJing,DS,Pending,2025-12-16,0000-00-00,101,,101,1,,美国再次伟|F1New|2025-12-16
Update求求下签F1RenewalBeiJingMicrobiology and ImmunoloClear2025-12-102026-03-0989,求求下签,F1Renewal,BeiJing,Microbiology and Immunolo,Clear,2025-12-10,2026-03-09,89,89,,1,,求求下签|F1Renewal|2025-12-10
Update运气爆棚201F1RenewalGuangZhouCSClear2025-12-082026-03-0991,运气爆棚201,F1Renewal,GuangZhou,CS,Clear,2025-12-08,2026-03-09,91,91,,1,,运气爆棚201|F1Renewal|2025-12-08
Update球球球球过F1RenewalShangHaiCHEME/BMEClear2025-12-122026-03-1391,球球球球过,F1Renewal,ShangHai,CHEME/BME,Clear,2025-12-12,2026-03-13,91,91,,1,,球球球球过|F1Renewal|2025-12-12
Update可儿F1NewShenYangSystem EngineeringPending2025-12-160000-00-00101,可儿,F1New,ShenYang,System Engineering,Pending,2025-12-16,0000-00-00,101,,101,1,,可儿|F1New|2025-12-16
Updatecheck好慢啊F1RenewalOthersCSPending2025-12-050000-00-00112,check好慢啊,F1Renewal,Others,CS,Pending,2025-12-05,0000-00-00,112,,112,1,,check好慢啊|F1Renewal|2025-12-05
UpdatessF1RenewalBeiJingBMEClear2025-12-052026-03-1095,ss,F1Renewal,BeiJing,BME,Clear,2025-12-05,2026-03-10,95,95,,1,,ss|F1Renewal|2025-12-05
UpdateBest of LuckF1RenewalBeiJingChemical EngineeringClear2025-12-302026-03-0666,Best of Luck,F1Renewal,BeiJing,Chemical Engineering,Clear,2025-12-30,2026-03-06,66,66,,1,,Best of Luck|F1Renewal|2025-12-30
Update赶着回去找F1RenewalGuangZhouCSPending2025-12-290000-00-0088,赶着回去找,F1Renewal,GuangZhou,CS,Pending,2025-12-29,0000-00-00,88,,88,1,,赶着回去找|F1Renewal|2025-12-29
UpdateAsdlkjF1RenewalBeiJingCSClear2025-12-222026-03-0371,Asdlkj,F1Renewal,BeiJing,CS,Clear,2025-12-22,2026-03-03,71,71,,1,,Asdlkj|F1Renewal|2025-12-22
Updateball_ballF1RenewalShangHaiGeneticsPending2025-12-190000-00-0098,ball_ball,F1Renewal,ShangHai,Genetics,Pending,2025-12-19,0000-00-00,98,,98,1,,ball_ball|F1Renewal|2025-12-19
UpdateJackcarzyF1NewOthersChemistryClear2025-12-302026-03-2484,Jackcarzy,F1New,Others,Chemistry,Clear,2025-12-30,2026-03-24,84,84,,1,,Jackcarzy|F1New|2025-12-30
Update下签吧求求F1RenewalOthersCSPending2025-12-290000-00-0088,下签吧求求,F1Renewal,Others,CS,Pending,2025-12-29,0000-00-00,88,,88,1,,下签吧求求|F1Renewal|2025-12-29
Updatejqin020F1RenewalShenYangECEClear2025-12-222026-03-0674,jqin020,F1Renewal,ShenYang,ECE,Clear,2025-12-22,2026-03-06,74,74,,1,,jqin020|F1Renewal|2025-12-22
Update求过求赶上F1RenewalGuangZhouSTEMPending2025-12-120000-00-00105,求过求赶上,F1Renewal,GuangZhou,STEM,Pending,2025-12-12,0000-00-00,105,,105,1,,求过求赶上|F1Renewal|2025-12-12
UpdateI fule youF1NewGuangZhouComputer EngineeringPending2025-12-110000-00-00106,I fule you,F1New,GuangZhou,Computer Engineering,Pending,2025-12-11,0000-00-00,106,,106,1,,I fule you|F1New|2025-12-11
Updatetzhu59F1RenewalBeiJingECEPending2025-12-150000-00-00102,tzhu59,F1Renewal,BeiJing,ECE,Pending,2025-12-15,0000-00-00,102,,102,1,,tzhu59|F1Renewal|2025-12-15
Update求5年F1NewWuHanECEPending2025-12-110000-00-00106,求5年,F1New,WuHan,ECE,Pending,2025-12-11,0000-00-00,106,,106,1,,求5年|F1New|2025-12-11
UpdateddddddF1RenewalWuHanCSClear2025-12-182026-03-2597,dddddd,F1Renewal,WuHan,CS,Clear,2025-12-18,2026-03-25,97,97,,1,,dddddd|F1Renewal|2025-12-18
UpdateHurryPengF1RenewalBeiJingCSClear2025-12-152026-03-1792,HurryPeng,F1Renewal,BeiJing,CS,Clear,2025-12-15,2026-03-17,92,92,,1,,HurryPeng|F1Renewal|2025-12-15
Update灰灰灰F1RenewalShangHaiMech EClear2025-12-122026-03-1088,灰灰灰,F1Renewal,ShangHai,Mech E,Clear,2025-12-12,2026-03-10,88,88,,1,,灰灰灰|F1Renewal|2025-12-12
UpdatexiaoyezuoF1RenewalShenYangN/APending2025-12-230000-00-0094,xiaoyezuo,F1Renewal,ShenYang,N/A,Pending,2025-12-23,0000-00-00,94,,94,1,,xiaoyezuo|F1Renewal|2025-12-23
UpdateFelixF1RenewalGuangZhouCSPending2025-12-120000-00-00105,Felix,F1Renewal,GuangZhou,CS,Pending,2025-12-12,0000-00-00,105,,105,1,,Felix|F1Renewal|2025-12-12
Update也太久了吧F1RenewalBeiJingChemistryClear2025-12-012026-03-0291,也太久了吧,F1Renewal,BeiJing,Chemistry,Clear,2025-12-01,2026-03-02,91,91,,1,,也太久了吧|F1Renewal|2025-12-01
UpdateparakeetF1RenewalGuangZhouCSClear2025-12-162026-03-0478,parakeet,F1Renewal,GuangZhou,CS,Clear,2025-12-16,2026-03-04,78,78,,1,,parakeet|F1Renewal|2025-12-16
UpdatelmgbF1RenewalBeiJingCSClear2025-12-312026-03-1776,lmgb,F1Renewal,BeiJing,CS,Clear,2025-12-31,2026-03-17,76,76,,1,,lmgb|F1Renewal|2025-12-31
Updatewakeup_030526F1RenewalShenYangECEClear2025-12-302026-03-0666,wakeup_030526,F1Renewal,ShenYang,ECE,Clear,2025-12-30,2026-03-06,66,66,,1,,wakeup_030526|F1Renewal|2025-12-30
Update过过过F1RenewalBeiJingIndustrial EngineeringClear2025-12-112026-03-1089,过过过,F1Renewal,BeiJing,Industrial Engineering,Clear,2025-12-11,2026-03-10,89,89,,1,,过过过|F1Renewal|2025-12-11
UpdateMerryF1NewBeiJingECE MSClear2025-12-092026-03-0687,Merry,F1New,BeiJing,ECE MS,Clear,2025-12-09,2026-03-06,87,87,,1,,Merry|F1New|2025-12-09
Update磨人的voF1RenewalBeiJingN/AClear2025-12-082026-03-1092,磨人的vo,F1Renewal,BeiJing,N/A,Clear,2025-12-08,2026-03-10,92,92,,1,,磨人的vo|F1Renewal|2025-12-08
UpdatePBSF1RenewalBeiJingChemistryClear2025-12-122026-03-0987,PBS,F1Renewal,BeiJing,Chemistry,Clear,2025-12-12,2026-03-09,87,87,,1,,PBS|F1Renewal|2025-12-12
UpdateXWF1RenewalGuangZhouCEPending2025-12-230000-00-0094,XW,F1Renewal,GuangZhou,CE,Pending,2025-12-23,0000-00-00,94,,94,1,,XW|F1Renewal|2025-12-23
UpdateF1checkF1RenewalGuangZhouPhysicsClear2025-12-232026-03-1077,F1check,F1Renewal,GuangZhou,Physics,Clear,2025-12-23,2026-03-10,77,77,,1,,F1check|F1Renewal|2025-12-23
UpdatejasonyuxF1RenewalGuangZhouComputer ScienceClear2025-12-152026-03-1287,jasonyux,F1Renewal,GuangZhou,Computer Science,Clear,2025-12-15,2026-03-12,87,87,,1,,jasonyux|F1Renewal|2025-12-15
Update你试过从冬F1RenewalBeiJingComputer ScienceClear2025-12-032026-03-14101,你试过从冬,F1Renewal,BeiJing,Computer Science,Clear,2025-12-03,2026-03-14,101,101,,1,,你试过从冬|F1Renewal|2025-12-03
UpdateLodosekF1RenewalEuropeMSIST Pending2025-12-160000-00-00101,Lodosek,F1Renewal,Europe,MSIST,Pending,2025-12-16,0000-00-00,101,,101,1,,Lodosek|F1Renewal|2025-12-16
Update慢死了F1RenewalWuHanNetworkClear2025-12-122026-03-24102,慢死了,F1Renewal,WuHan,Network,Clear,2025-12-12,2026-03-24,102,102,,1,,慢死了|F1Renewal|2025-12-12
